Source,word,n
Human,expected,1
Human,extent,1
Human,fairest,1
Human,favoritism,1
Human,feelings,1
Human,feels,1
Human,fight,1
Human,fit,1
Human,fruits,1
Human,fun,1
Human,gain,1
Human,gained,1
Human,go,1
Human,gold,1
Human,gone,1
Human,great,1
Human,greater,1
Human,guarantee,1
Human,guarantees,1
Human,guilt,1
Human,hand,1
Human,hands,1
Human,harmed,1
Human,higher,1
Human,hope,1
Human,hurt,1
Human,ideas,1
Human,impatient,1
Human,important,1
Human,imposed,1
Human,inappropriate,1
Human,increase,1
Human,increasingly,1
Human,influence,1
Human,infuriating,1
Human,keeping,1
Human,keeps,1
Human,kind,1
Human,labor,1
Human,larger,1
Human,largest,1
Human,limit,1
Human,look,1
Human,lot,1
Human,main,1
Human,making,1
Human,manageable,1
Human,many,1
Human,maximize,1
Human,maximum,1
Human,mean,1
Human,means,1
Human,measures,1
Human,method,1
Human,minimal,1
Human,minimum,1
Human,morally,1
Human,moreover,1
Human,natural,1
Human,necessary,1
Human,neither,1
Human,none,1
Human,numb,1
Human,object,1
Human,obtained,1
Human,obviously,1
Human,occasional,1
Human,often,1
Human,okay,1
Human,oneself,1
Human,oppose,1
Human,otherwise,1
Human,partially,1
Human,paying,1
Human,perspective,1
Human,place,1
Human,poor,1
Human,position,1
Human,priority,1
Human,prize,1
Human,problem,1
Human,profits,1
Human,propose,1
Human,protect,1
Human,provided,1
Human,psychologically,1
Human,punishing,1
Human,punishment,1
Human,put,1
Human,questions,1
Human,received,1
Human,receives,1
Human,reduce,1
Human,refuses,1
Human,refusing,1
Human,regardless,1
Human,rejects,1
Human,relative,1
Human,remind,1
Human,request,1
Human,result,1
Human,results,1
Human,revenge,1
Human,rewarded,1
Human,ruthless,1
Human,sacrificed,1
Human,said,1
Human,salary,1
Human,satisfied,1
Human,satisfies,1
Human,secondly,1
Human,seems,1
Human,self,1
Human,selfless,1
Human,several,1
Human,share,1
Human,shows,1
Human,single,1
Human,situation,1
Human,someone,1
Human,sometimes,1
Human,somewhat,1
Human,speaking,1
Human,spend,1
Human,splitting,1
Human,standard,1
Human,starting,1
Human,statement,1
Human,stopped,1
Human,succeed,1
Human,suffer,1
Human,suffered,1
Human,task,1
Human,tasks,1
Human,tends,1
Human,thing,1
Human,thinking,1
Human,thinks,1
Human,though,1
Human,thus,1
Human,tied,1
Human,time,1
Human,tolerance,1
Human,tolerate,1
Human,towards,1
Human,ugly,1
Human,unable,1
Human,unacceptable,1
Human,unbearable,1
Human,understandable,1
Human,undue,1
Human,unequal,1
Human,unfairness,1
Human,unhappy,1
Human,unwilling,1
Human,value,1
Human,willing,1
Human,withholding,1
