id	trial	amount_of_allocation	cost_level	amount_of_cost	group	AA_valence	AA_arousal	choice	AC_valence	AC_arousal	EmoFDBK_valence	EmoFDBK_arousal	Output
157	12	13	low	3	gpt-3.5-turbo-0125	-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
157	13	13	low	4	gpt-3.5-turbo-0125	-50	30	1	-80	40	-30.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -80, AC_arousal = 40
157	14	14	low	3	gpt-3.5-turbo-0125	-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
157	15	11	low	0	gpt-3.5-turbo-0125	-40	20	1	-30	35	10.0	15.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 35
157	16	12	low	3	gpt-3.5-turbo-0125	-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
157	17	10	low	3	gpt-3.5-turbo-0125	-60	20	1	-70	40	-10.0	20.0	AA_valence = -60, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
157	18	13	low	2	gpt-3.5-turbo-0125	-50	20	1	-70	30	-20.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 30
157	19	14	low	2	gpt-3.5-turbo-0125	-40	30	1	-20	50	20.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -20, AC_arousal = 50
157	20	15	low	0	gpt-3.5-turbo-0125	-20	10	0	5	3	25.0	-7.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = 5, AC_arousal = 3
157	21	15	low	2	gpt-3.5-turbo-0125	-40	20	0	-10	15	30.0	-5.0	AA_valence = -40, AA_arousal = 20, choice = 0, AC_valence = -10, AC_arousal = 15
157	22	11	low	2	gpt-3.5-turbo-0125	-20	10	1	-15	20	5.0	10.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -15, AC_arousal = 20
157	23	12	low	2	gpt-3.5-turbo-0125	-60	20	1	-70	30	-10.0	10.0	AA_valence = -60, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 30
157	24	14	low	4	gpt-3.5-turbo-0125	-40	20	1	-60	40	-20.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 40
157	25	10	low	1	gpt-3.5-turbo-0125	-50	30	1	-30	40	20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -30, AC_arousal = 40
157	26	10	low	4	gpt-3.5-turbo-0125	-70	30	1	-80	40	-10.0	10.0	AA_valence = -70, AA_arousal = 30, choice = 1, AC_valence = -80, AC_arousal = 40
157	27	10	low	2	gpt-3.5-turbo-0125	-40	30	1	-70	50	-30.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
157	28	15	low	4	gpt-3.5-turbo-0125	-20	10	1	-30	20	-10.0	10.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -30, AC_arousal = 20
157	29	10	low	0	gpt-3.5-turbo-0125	-50	20	1	-30	30	20.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 30
157	30	13	low	1	gpt-3.5-turbo-0125	-50	20	1	-70	60	-20.0	40.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
157	31	10	high	9	gpt-3.5-turbo-0125	-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
157	32	13	high	9	gpt-3.5-turbo-0125	-70	30	1	-90	70	-20.0	40.0	AA_valence = -70, AA_arousal = 30, choice = 1, AC_valence = -90, AC_arousal = 70
157	33	13	high	8	gpt-3.5-turbo-0125	-40	20	1	-70	40	-30.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
157	34	11	high	6	gpt-3.5-turbo-0125	-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
157	35	14	high	6	gpt-3.5-turbo-0125	-50	20	1	-30	40	20.0	20.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 40
157	36	12	high	9	gpt-3.5-turbo-0125	-40	25	1	-60	70	-20.0	45.0	AA_valence = -40, AA_arousal = 25, choice = 1, AC_valence = -60, AC_arousal = 70
157	37	15	high	5	gpt-3.5-turbo-0125	-20	30	0	-5	15	15.0	-15.0	AA_valence = -20, AA_arousal = 30, choice = 0, AC_valence = -5, AC_arousal = 15
157	38	12	high	6	gpt-3.5-turbo-0125	-20	15	0	-5	10	15.0	-5.0	AA_valence = -20, AA_arousal = 15, choice = 0, AC_valence = -5, AC_arousal = 10
157	39	10	high	6	gpt-3.5-turbo-0125	-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
157	40	15	high	9	gpt-3.5-turbo-0125	-30	20	0	25	10	55.0	-10.0	AA_valence = -30, AA_arousal = 20, choice = 0, AC_valence = 25, AC_arousal = 10
157	41	12	high	7	gpt-3.5-turbo-0125	-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
157	42	11	high	8	gpt-3.5-turbo-0125	-40	20	1	-60	40	-20.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 40
157	43	12	high	5	gpt-3.5-turbo-0125	-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
157	44	15	high	7	gpt-3.5-turbo-0125	-20	30	1	-40	60	-20.0	30.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = -40, AC_arousal = 60
157	45	10	high	5	gpt-3.5-turbo-0125	-45	20	1	-65	40	-20.0	20.0	AA_valence = -45, AA_arousal = 20, choice = 1, AC_valence = -65, AC_arousal = 40
157	46	10	high	8	gpt-3.5-turbo-0125	-25	20	1	-40	35	-15.0	15.0	AA_valence = -25, AA_arousal = 20, choice = 1, AC_valence = -40, AC_arousal = 35
157	47	15	high	6	gpt-3.5-turbo-0125	-40	20	0	-10	10	30.0	-10.0	AA_valence = -40, AA_arousal = 20, choice = 0, AC_valence = -10, AC_arousal = 10
157	48	14	high	9	gpt-3.5-turbo-0125	-60	40	0	-20	30	40.0	-10.0	AA_valence = -60, AA_arousal = 40, choice = 0, AC_valence = -20, AC_arousal = 30
157	49	15	high	8	gpt-3.5-turbo-0125	-60	30	0	-20	20	40.0	-10.0	AA_valence = -60, AA_arousal = 30, choice = 0, AC_valence = -20, AC_arousal = 20
157	50	10	high	7	gpt-3.5-turbo-0125	-70	40	1	-90	60	-20.0	20.0	AA_valence = -70, AA_arousal = 40, choice = 1, AC_valence = -90, AC_arousal = 60
157	51	12	high	8	gpt-3.5-turbo-0125	-60	30	1	-80	40	-20.0	10.0	AA_valence = -60, AA_arousal = 30, choice = 1, AC_valence = -80, AC_arousal = 40
157	52	14	high	7	gpt-3.5-turbo-0125	-60	40	0	-10	30	50.0	-10.0	AA_valence = -60, AA_arousal = 40, choice = 0, AC_valence = -10, AC_arousal = 30
157	53	11	high	7	gpt-3.5-turbo-0125	-40	20	1	-60	40	-20.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 40
157	54	14	high	8	gpt-3.5-turbo-0125	-30	15	1	-20	40	10.0	25.0	AA_valence = -30, AA_arousal = 15, choice = 1, AC_valence = -20, AC_arousal = 40
157	55	13	high	7	gpt-3.5-turbo-0125	-40	20	1	-70	40	-30.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
157	56	11	high	9	gpt-3.5-turbo-0125	-60	40	1	-80	60	-20.0	20.0	AA_valence = -60, AA_arousal = 40, choice = 1, AC_valence = -80, AC_arousal = 60
157	57	11	high	5	gpt-3.5-turbo-0125	-40	15	1	-70	25	-30.0	10.0	AA_valence = -40, AA_arousal = 15, choice = 1, AC_valence = -70, AC_arousal = 25
157	58	14	high	5	gpt-3.5-turbo-0125	-20	30	1	-30	50	-10.0	20.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = -30, AC_arousal = 50
157	59	13	high	5	gpt-3.5-turbo-0125	-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
157	60	13	high	6	gpt-3.5-turbo-0125	-50	20	1	-70	60	-20.0	40.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
1753	1	12	low	1	gpt-3.5-turbo-0125	-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
1753	2	10	low	2	gpt-3.5-turbo-0125	-70	20	1	-50	30	20.0	10.0	AA_valence = -70, AA_arousal = 20, choice = 1, AC_valence = -50, AC_arousal = 30
1753	3	11	low	2	gpt-3.5-turbo-0125	-50	20	1	-30	40	20.0	20.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 40
1753	4	14	low	1	gpt-3.5-turbo-0125	20	10	1	5	15	-15.0	5.0	AA_valence = 20, AA_arousal = 10, choice = 1, AC_valence = 5, AC_arousal = 15
1753	5	14	low	0	gpt-3.5-turbo-0125	-20	10	1	-10	5	10.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -10, AC_arousal = 5
1753	6	13	low	3	gpt-3.5-turbo-0125	-40	20	1	-20	40	20.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 40
1753	7	12	low	2	gpt-3.5-turbo-0125	-40	20	1	-30	40	10.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 40
1753	8	11	low	4	gpt-3.5-turbo-0125	-50	30	1	-60	40	-10.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -60, AC_arousal = 40
1753	9	15	low	4	gpt-3.5-turbo-0125	-40	20	1	-70	40	-30.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
1753	10	14	low	4	gpt-3.5-turbo-0125	-60	20	1	-20	40	40.0	20.0	AA_valence = -60, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 40
1753	11	15	low	0	gpt-3.5-turbo-0125	-60	20	0	-20	10	40.0	-10.0	AA_valence = -60, AA_arousal = 20, choice = 0, AC_valence = -20, AC_arousal = 10
1753	12	12	low	3	gpt-3.5-turbo-0125	-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
1753	13	13	low	1	gpt-3.5-turbo-0125	-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
1753	14	13	low	2	gpt-3.5-turbo-0125	-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
1753	15	12	low	4	gpt-3.5-turbo-0125	-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
1753	16	11	low	0	gpt-3.5-turbo-0125	-20	10	0	-5	5	15.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = -5, AC_arousal = 5
1753	17	11	low	3	gpt-3.5-turbo-0125	-60	30	1	-70	40	-10.0	10.0	AA_valence = -60, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
1753	18	10	low	1	gpt-3.5-turbo-0125	-50	20	1	-70	30	-20.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 30
1753	19	15	low	3	gpt-3.5-turbo-0125	-40	20	1	-30	10	10.0	-10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 10
1753	20	10	low	0	gpt-3.5-turbo-0125	-20	10	0	-15	5	5.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = -15, AC_arousal = 5
1753	21	14	low	2	gpt-3.5-turbo-0125	-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
1753	22	15	low	2	gpt-3.5-turbo-0125	-20	10	0	5	15	25.0	5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = 5, AC_arousal = 15
1753	23	15	low	1	gpt-3.5-turbo-0125	-20	10	0	-10	5	10.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = -10, AC_arousal = 5
1753	24	12	low	0	gpt-3.5-turbo-0125	-30	20	1	5	10	35.0	-10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = 5, AC_arousal = 10
1753	25	13	low	4	gpt-3.5-turbo-0125	-40	20	1	-30	30	10.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 30
1753	26	13	low	0	gpt-3.5-turbo-0125	-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
1753	27	10	low	3	gpt-3.5-turbo-0125	-40	20	1	-30	30	10.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 30
1753	28	11	low	1	gpt-3.5-turbo-0125	-50	30	1	-70	50	-20.0	20.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
1753	29	14	low	3	gpt-3.5-turbo-0125	-20	15	1	-10	25	10.0	10.0	AA_valence = -20, AA_arousal = 15, choice = 1, AC_valence = -10, AC_arousal = 25
1753	30	10	low	4	gpt-3.5-turbo-0125	-30	20	1	-10	30	20.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -10, AC_arousal = 30
1753	31	12	high	5	gpt-3.5-turbo-0125	-30	20	0	-10	30	20.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 0, AC_valence = -10, AC_arousal = 30
1753	32	10	high	8	gpt-3.5-turbo-0125	-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
1753	33	11	high	7	gpt-3.5-turbo-0125	-50	40	1	-70	60	-20.0	20.0	AA_valence = -50, AA_arousal = 40, choice = 1, AC_valence = -70, AC_arousal = 60
1753	34	10	high	9	gpt-3.5-turbo-0125	-50	30	1	-80	70	-30.0	40.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -80, AC_arousal = 70
1753	35	10	high	5	gpt-3.5-turbo-0125	-40	30	1	-20	50	20.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -20, AC_arousal = 50
1753	36	14	high	6	gpt-3.5-turbo-0125	-50	30	1	-70	50	-20.0	20.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
1753	37	15	high	8	gpt-3.5-turbo-0125	-50	20	0	-40	30	10.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 0, AC_valence = -40, AC_arousal = 30
1753	38	13	high	9	gpt-3.5-turbo-0125	-50	40	1	-70	60	-20.0	20.0	AA_valence = -50, AA_arousal = 40, choice = 1, AC_valence = -70, AC_arousal = 60
1753	39	11	high	9	gpt-3.5-turbo-0125	-50	30	1	-60	50	-10.0	20.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -60, AC_arousal = 50
1753	40	15	high	9	gpt-3.5-turbo-0125	-40	20	1	-70	40	-30.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
1753	41	13	high	5	gpt-3.5-turbo-0125	-20	10	1	-15	25	5.0	15.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -15, AC_arousal = 25
1753	42	12	high	7	gpt-3.5-turbo-0125	-50	20	1	-70	40	-20.0	20.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
1753	43	10	high	6	gpt-3.5-turbo-0125	-40	30	1	-70	50	-30.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
1753	44	11	high	6	gpt-3.5-turbo-0125	-25	20	1	-10	30	15.0	10.0	AA_valence = -25, AA_arousal = 20, choice = 1, AC_valence = -10, AC_arousal = 30
1753	45	14	high	8	gpt-3.5-turbo-0125	-20	10	1	-10	30	10.0	20.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -10, AC_arousal = 30
1753	46	13	high	6	gpt-3.5-turbo-0125	-50	30	1	-70	60	-20.0	30.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 60
1753	47	11	high	8	gpt-3.5-turbo-0125	-50	40	1	-70	60	-20.0	20.0	AA_valence = -50, AA_arousal = 40, choice = 1, AC_valence = -70, AC_arousal = 60
1753	48	15	high	6	gpt-3.5-turbo-0125	-60	30	0	-20	10	40.0	-20.0	AA_valence = -60, AA_arousal = 30, choice = 0, AC_valence = -20, AC_arousal = 10
1753	49	14	high	5	gpt-3.5-turbo-0125	-40	30	1	-20	50	20.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -20, AC_arousal = 50
1753	50	13	high	7	gpt-3.5-turbo-0125	-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
1753	51	13	high	8	gpt-3.5-turbo-0125	-70	20	1	-85	80	-15.0	60.0	AA_valence = -70, AA_arousal = 20, choice = 1, AC_valence = -85, AC_arousal = 80
1753	52	15	high	5	gpt-3.5-turbo-0125	-20	30	0	-10	20	10.0	-10.0	AA_valence = -20, AA_arousal = 30, choice = 0, AC_valence = -10, AC_arousal = 20
1753	53	14	high	9	gpt-3.5-turbo-0125	-50	30	1	-70	50	-20.0	20.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
1753	54	12	high	8	gpt-3.5-turbo-0125	-30	20	1	-10	40	20.0	20.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -10, AC_arousal = 40
1753	55	11	high	5	gpt-3.5-turbo-0125	-30	10	1	-20	30	10.0	20.0	AA_valence = -30, AA_arousal = 10, choice = 1, AC_valence = -20, AC_arousal = 30
1753	56	14	high	7	gpt-3.5-turbo-0125	-40	25	1	-30	40	10.0	15.0	AA_valence = -40, AA_arousal = 25, choice = 1, AC_valence = -30, AC_arousal = 40
1753	57	10	high	7	gpt-3.5-turbo-0125	-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
1753	58	12	high	6	gpt-3.5-turbo-0125	-50	30	1	-70	60	-20.0	30.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 60
1753	59	12	high	9	gpt-3.5-turbo-0125	-60	40	1	-80	70	-20.0	30.0	AA_valence = -60, AA_arousal = 40, choice = 1, AC_valence = -80, AC_arousal = 70
1753	60	15	high	7	gpt-3.5-turbo-0125	-70	40	0	-10	20	60.0	-20.0	AA_valence = -70, AA_arousal = 40, choice = 0, AC_valence = -10, AC_arousal = 20
157	1	11	low	3	o3-mini-2025-01-31	-35	45	1	20	10	55.0	-35.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = 20, AC_arousal = 10
157	2	15	low	1	o3-mini-2025-01-31	38	12	0	42	8	4.0	-4.0	AA_valence = 38, AA_arousal = 12, choice = 0, AC_valence = 42, AC_arousal = 8
157	3	12	low	0	o3-mini-2025-01-31	-30	40	1	20	15	50.0	-25.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 20, AC_arousal = 15
157	4	11	low	4	o3-mini-2025-01-31	-35	25	1	15	10	50.0	-15.0	AA_valence = -35, AA_arousal = 25, choice = 1, AC_valence = 15, AC_arousal = 10
157	5	14	low	1	o3-mini-2025-01-31	-20	30	1	15	10	35.0	-20.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 10
157	6	15	low	3	o3-mini-2025-01-31	30	10	0	35	5	5.0	-5.0	AA_valence = 30, AA_arousal = 10, choice = 0, AC_valence = 35, AC_arousal = 5
157	7	14	low	0	o3-mini-2025-01-31	-20	30	1	25	5	45.0	-25.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 25, AC_arousal = 5
157	8	12	low	1	o3-mini-2025-01-31	-35	40	1	20	10	55.0	-30.0	AA_valence = -35, AA_arousal = 40, choice = 1, AC_valence = 20, AC_arousal = 10
157	9	11	low	1	o3-mini-2025-01-31	-30	40	1	15	10	45.0	-30.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 10
157	10	13	low	0	o3-mini-2025-01-31	-30	45	1	25	15	55.0	-30.0	AA_valence = -30, AA_arousal = 45, choice = 1, AC_valence = 25, AC_arousal = 15
157	11	12	low	4	o3-mini-2025-01-31	-25	30	1	15	10	40.0	-20.0	AA_valence = -25, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 10
157	12	13	low	3	o3-mini-2025-01-31	-20	35	1	15	10	35.0	-25.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 10
157	13	13	low	4	o3-mini-2025-01-31	-25	45	1	15	30	40.0	-15.0	AA_valence = -25, AA_arousal = 45, choice = 1, AC_valence = 15, AC_arousal = 30
157	14	14	low	3	o3-mini-2025-01-31	-15	30	0	20	10	35.0	-20.0	AA_valence = -15, AA_arousal = 30, choice = 0, AC_valence = 20, AC_arousal = 10
157	15	11	low	0	o3-mini-2025-01-31	-35	40	1	25	20	60.0	-20.0	AA_valence = -35, AA_arousal = 40, choice = 1, AC_valence = 25, AC_arousal = 20
157	16	12	low	3	o3-mini-2025-01-31	-25	40	1	20	10	45.0	-30.0	AA_valence = -25, AA_arousal = 40, choice = 1, AC_valence = 20, AC_arousal = 10
157	17	10	low	3	o3-mini-2025-01-31	-50	60	1	30	10	80.0	-50.0	AA_valence = -50, AA_arousal = 60, choice = 1, AC_valence = 30, AC_arousal = 10
157	18	13	low	2	o3-mini-2025-01-31	-30	40	1	20	10	50.0	-30.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 20, AC_arousal = 10
157	19	14	low	2	o3-mini-2025-01-31	-20	25	0	15	10	35.0	-15.0	AA_valence = -20, AA_arousal = 25, choice = 0, AC_valence = 15, AC_arousal = 10
157	20	15	low	0	o3-mini-2025-01-31	30	10	0	35	5	5.0	-5.0	AA_valence = 30, AA_arousal = 10, choice = 0, AC_valence = 35, AC_arousal = 5
157	21	15	low	2	o3-mini-2025-01-31	45	15	0	55	10	10.0	-5.0	AA_valence = 45, AA_arousal = 15, choice = 0, AC_valence = 55, AC_arousal = 10
157	22	11	low	2	o3-mini-2025-01-31	-35	30	1	15	10	50.0	-20.0	AA_valence = -35, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 10
157	23	12	low	2	o3-mini-2025-01-31	-32	28	1	15	8	47.0	-20.0	AA_valence = -32, AA_arousal = 28, choice = 1, AC_valence = 15, AC_arousal = 8
157	24	14	low	4	o3-mini-2025-01-31	-20	25	1	15	5	35.0	-20.0	AA_valence = -20, AA_arousal = 25, choice = 1, AC_valence = 15, AC_arousal = 5
157	25	10	low	1	o3-mini-2025-01-31	-40	50	1	10	20	50.0	-30.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = 10, AC_arousal = 20
157	26	10	low	4	o3-mini-2025-01-31	-30	40	1	25	15	55.0	-25.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 25, AC_arousal = 15
157	27	10	low	2	o3-mini-2025-01-31	-25	30	1	15	5	40.0	-25.0	AA_valence = -25, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 5
157	28	15	low	4	o3-mini-2025-01-31	60	35	0	70	25	10.0	-10.0	AA_valence = 60, AA_arousal = 35, choice = 0, AC_valence = 70, AC_arousal = 25
157	29	10	low	0	o3-mini-2025-01-31	-25	40	1	15	15	40.0	-25.0	AA_valence = -25, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 15
157	30	13	low	1	o3-mini-2025-01-31	-25	35	1	15	5	40.0	-30.0	AA_valence = -25, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 5
157	31	10	high	9	o3-mini-2025-01-31	-40	40	1	15	10	55.0	-30.0	AA_valence = -40, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 10
157	32	13	high	9	o3-mini-2025-01-31	-30	35	1	20	10	50.0	-25.0	AA_valence = -30, AA_arousal = 35, choice = 1, AC_valence = 20, AC_arousal = 10
157	33	13	high	8	o3-mini-2025-01-31	-25	30	1	15	10	40.0	-20.0	AA_valence = -25, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 10
157	34	11	high	6	o3-mini-2025-01-31	-25	35	1	-5	10	20.0	-25.0	AA_valence = -25, AA_arousal = 35, choice = 1, AC_valence = -5, AC_arousal = 10
